8141	갃
8142	갅
8143	갆
8144	갋
8145	갌
8146	갍
8147	갎
8148	갏
8149	갘
814A	갂
814B	갻
814C	갽
814D	갾
814E	갿
814F	걁
8150	걂
8151	걃
8152	걄
8153	걅
8154	걆
8155	걇
8156	걉
8157	걊
8158	걎
8159	걏
815A	걐
8161	걑
8162	걒
8163	걓
8164	갺
8165	걌
8166	걳
8167	걵
8168	걶
8169	걻
816A	걼
816B	걽
816C	걾
816D	걿
816E	겂
816F	겇
8170	겈
8171	걲
8172	겫
8173	겭
8174	겮
8175	겱
8176	겲
8177	겳
8178	겴
8179	겵
817A	겶
8181	겷
8182	겺
8183	겾
8184	겿
8185	곀
8186	곂
8187	곃
8188	곣
8189	곥
818A	곦
818B	곩
818C	곫
818D	곭
818E	곮
818F	곲
8190	곷
8191	곸
8192	곹
8193	곻
8194	곢
8195	곴
8196	굑
8197	굓
8198	굕
8199	굖
819A	굗
819B	굙
819C	굚
819D	굛
819E	굜
819F	굝
81A0	굞
81A1	굟
81A2	굠
81A3	굢
81A4	굥
81A5	굦
81A6	굧
81A7	굨
81A8	굩
81A9	굪
81AA	굫
81AB	굒
81AC	굤
81AD	굯
81AE	굱
81AF	굲
81B0	굷
81B1	굸
81B2	굹
81B3	굺
81B4	굾
81B5	궃
81B6	궄
81B7	궅
81B8	궆
81B9	궇
81BA	굮
81BB	궀
81BC	귝
81BD	귟
81BE	귡
81BF	귢
81C0	귣
81C1	귥
81C2	귦
81C3	귧
81C4	귨
81C5	귩
81C6	귪
81C7	귫
81C8	귭
81C9	귮
81CA	귯
81CB	귲
81CC	귳
81CD	귴
81CE	귵
81CF	귶
81D0	귷
81D1	귞
81D2	귰
81D3	귻
81D4	귽
81D5	귾
81D6	긂
81D7	긃
81D8	긄
81D9	긅
81DA	긆
81DB	긊
81DC	긎
81DD	긏
81DE	긐
81DF	긑
81E0	긒
81E1	긓
81E2	귺
81E3	긌
81E4	긳
81E5	긵
81E6	긶
81E7	긹
81E8	긻
81E9	긼
81EA	긽
81EB	긾
81EC	긿
81ED	깂
81EE	깈
81EF	깋
81F0	긲
81F1	깄
81F2	갟
81F3	갡
81F4	갢
81F5	갣
81F6	갥
81F7	갦
81F8	갧
81F9	갨
81FA	갩
81FB	갪
81FC	갫
81FD	갮
81FE	갲
8241	갳
8242	갴
8243	갵
8244	갶
8245	갷
8246	갞
8247	걕
8248	걗
8249	걙
824A	걚
824B	걛
824C	걝
824D	걞
824E	걟
824F	걠
8250	걡
8251	걢
8252	걣
8253	걤
8254	걥
8255	걦
8256	걧
8257	걩
8258	걪
8259	걫
825A	걬
8261	걭
8262	걮
8263	걯
8264	걖
8265	걨
8266	겏
8267	겑
8268	겒
8269	겓
826A	겕
826B	겖
826C	겗
826D	겘
826E	겙
826F	겚
8270	겛
8271	겞
8272	겢
8273	겣
8274	겤
8275	겥
8276	겦
8277	겧
8278	겎
8279	곅
